----------------------------969969099448951372522494
Content-Disposition: form-data; name="file"; filename="RawData.csv"
Content-Type: text/csv

"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.961956020E-1,-1.215950027E-1,-1.526300013E-1,-1.034006000E0,1.052259316E0
5.012085250E-1,-2.893739939E-1,-1.446020007E-1,-9.780820012E-1,1.030190006E0
5.062214480E-1,-3.768129945E-1,-4.075700045E-2,-9.630150199E-1,1.034914052E0
5.112341460E-1,-4.790790081E-1,-4.182999954E-3,-8.935430050E-1,1.013880316E0
5.162470690E-1,-5.956140161E-1,-7.602999918E-3,-7.697150111E-1,9.732805660E-1
5.212599000E-1,-7.802630067E-1,1.730800048E-2,-6.597239971E-1,1.021932326E0
5.262728230E-1,-9.921789765E-1,4.354500026E-2,-5.499969721E-1,1.135258542E0
5.312855250E-1,-1.217373967E0,7.173699886E-2,-3.998300135E-1,1.283358723E0
5.362984480E-1,-1.360496998E0,1.158519983E-1,-1.820549965E-1,1.377504188E0
5.413112950E-1,-1.543910980E0,9.413299710E-2,6.245699897E-2,1.548038440E0
5.463242180E-1,-1.713598013E0,-7.000999991E-3,3.473590016E-1,1.748463737E0
5.513369190E-1,-1.787873030E0,-1.334349960E-1,6.999750137E-1,1.924645393E0
5.563498420E-1,-1.753003955E0,-2.857159972E-1,1.025068998E0,2.050712790E0
5.613626740E-1,-1.703966022E0,-4.649569988E-1,1.336459041E0,2.214905863E0
5.663755970E-1,-1.668037057E0,-6.580529809E-1,1.634253025E0,2.426141855E0
5.713882900E-1,-1.617465019E0,-8.113780022E-1,1.918576956E0,2.637321536E0
5.764014670E-1,-1.606544018E0,-8.981040120E-1,2.094152927E0,2.788019186E0
5.814141600E-1,-1.580721974E0,-9.596830010E-1,2.147461891E0,2.833948835E0
5.864270250E-1,-1.622163057E0,-1.064216018E0,2.160259008E0,2.903564654E0
5.914399480E-1,-1.717298031E0,-1.184546947E0,2.132560968E0,2.983300233E0
5.964526550E-1,-1.757261038E0,-1.266299963E0,2.050772905E0,2.982809324E0
6.014655780E-1,-1.742159963E0,-1.323129058E0,1.914911032E0,2.907348637E0
6.064784250E-1,-1.699555039E0,-1.409453034E0,1.765853047E0,2.827239320E0
6.114913330E-1,-1.670408964E0,-1.470662951E0,1.617205024E0,2.751084825E0
6.165040250E-1,-1.613852978E0,-1.493052959E0,1.428089976E0,2.621673045E0
6.215168900E-1,-1.543805957E0,-1.503530025E0,1.212095022E0,2.472471175E0
6.265298900E-1,-1.501113057E0,-1.502025962E0,9.692090154E-1,2.334264020E0
6.315427260E-1,-1.499523997E0,-1.529091001E0,6.857659817E-1,2.248769994E0
6.365556490E-1,-1.457437038E0,-1.516270995E0,3.889490068E-1,2.138803820E0
6.415683320E-1,-1.402354956E0,-1.503610969E0,1.194780022E-1,2.059543726E0
6.465812550E-1,-1.361351013E0,-1.491024017E0,-1.635390073E-1,2.025629336E0
6.515941630E-1,-1.307083011E0,-1.477954984E0,-3.921250105E-1,2.011611035E0
6.566070090E-1,-1.266674995E0,-1.464247942E0,-5.527030230E-1,2.013446848E0
6.616199230E-1,-1.198935032E0,-1.421990037E0,-6.863030195E-1,1.982552070E0
6.666326150E-1,-1.117087007E0,-1.378569007E0,-7.793120146E-1,1.937953328E0
6.716454390E-1,-1.089043021E0,-1.347298980E0,-8.999149799E-1,1.952197791E0
6.766583620E-1,-1.060475945E0,-1.341683984E0,-9.936490059E-1,1.977893700E0
6.816712510E-1,-1.017969012E0,-1.375053048E0,-1.019701958E0,1.991688700E0
6.866839430E-1,-9.886739850E-1,-1.406802058E0,-1.005270958E0,1.991767551E0
6.916968180E-1,-9.590709805E-1,-1.423375010E0,-9.775760174E-1,1.975213517E0
6.967098180E-1,-8.883090019E-1,-1.438665032E0,-9.093199968E-1,1.919821037E0
7.017226600E-1,-8.173919916E-1,-1.425608039E0,-8.549339771E-1,1.852403858E0
7.067355830E-1,-7.736409903E-1,-1.398069024E0,-8.552200198E-1,1.812324105E0
7.117485060E-1,-7.572950125E-1,-1.383105993E0,-8.420979977E-1,1.787626069E0
7.167611980E-1,-7.548149824E-1,-1.380718946E0,-8.291829824E-1,1.778672225E0
7.217740290E-1,-7.524499893E-1,-1.363520980E0,-8.573729992E-1,1.777767957E0
7.267869520E-1,-7.229440212E-1,-1.344665051E0,-8.859120011E-1,1.765109693E0
7.317996550E-1,-7.073659897E-1,-1.296694040E0,-9.012029767E-1,1.730303119E0
7.368125780E-1,-7.057579756E-1,-1.260373950E0,-8.079199791E-1,1.655104681E0
7.418254190E-1,-6.906759739E-1,-1.235905051E0,-6.741290092E-1,1.568102203E0
7.468383420E-1,-6.754729748E-1,-1.223368049E0,-4.998289943E-1,1.484157049E0
7.518510440E-1,-6.737080216E-1,-1.250437975E0,-2.713060081E-1,1.446058290E0
7.568639670E-1,-6.305940151E-1,-1.235617042E0,-5.663200095E-2,1.388382321E0
7.618768130E-1,-5.459780097E-1,-1.206781983E0,1.034559980E-1,1.328577392E0
7.668898140E-1,-4.746550024E-1,-1.204592943E0,2.770459950E-1,1.324045322E0
7.719026600E-1,-4.304060042E-1,-1.215787053E0,4.369849861E-1,1.361742768E0
7.769153660E-1,-4.133220017E-1,-1.226812959E0,5.832930207E-1,1.419906990E0
7.819282890E-1,-3.691619933E-1,-1.211153030E0,7.161319852E-1,1.454653657E0
7.869411980E-1,-3.524630070E-1,-1.168723941E0,8.218669891E-1,1.471601566E0
7.919540440E-1,-3.497279882E-1,-1.127290964E0,9.278489947E-1,1.501332189E0
7.969669720E-1,-3.608070016E-1,-1.086856961E0,9.659579992E-1,1.498170419E0
8.019796650E-1,-3.585009873E-1,-1.007212043E0,1.018041968E0,1.476281987E0
8.069925110E-1,-3.563460112E-1,-9.152399898E-1,1.029538989E0,1.422883428E0
8.120054480E-1,-3.543460071E-1,-8.658120036E-1,9.868980050E-1,1.359837928E0
8.170183710E-1,-3.661589921E-1,-7.907779813E-1,8.764879704E-1,1.235974670E0
8.220310870E-1,-3.917430043E-1,-7.447389960E-1,7.391849756E-1,1.120041598E0
8.270439340E-1,-4.174579978E-1,-6.727219820E-1,5.476520061E-1,9.626779133E-1
8.320569430E-1,-4.161120057E-1,-5.881119967E-1,3.699479997E-1,8.098681648E-1
8.370695580E-1,-4.010489881E-1,-4.904380143E-1,1.651010066E-1,6.546969368E-1
8.420827410E-1,-3.858560026E-1,-3.928520083E-1,-2.611500025E-2,5.512708485E-1
8.470954330E-1,-3.705190122E-1,-3.085710108E-1,-2.037799954E-1,5.234755903E-1
8.521083940E-1,-3.416970074E-1,-2.919270098E-1,-3.679029942E-1,5.808018914E-1
8.571212400E-1,-3.538379967E-1,-2.336370051E-1,-4.913020134E-1,6.489724543E-1
8.621341590E-1,-3.526139855E-1,-1.880940050E-1,-5.603629947E-1,6.882751363E-1
8.671468510E-1,-3.517299891E-1,-1.417060047E-1,-5.750749707E-1,6.888438132E-1
8.721597610E-1,-3.647220135E-1,-1.219400018E-1,-5.762599707E-1,6.927965538E-1
8.771726070E-1,-3.368879855E-1,-8.793000132E-2,-5.094519854E-1,6.170628212E-1
8.821855430E-1,-2.953560054E-1,-5.353400111E-2,-4.563350081E-1,5.462075603E-1
8.871982350E-1,-2.808560133E-1,-1.873300038E-2,-3.896819949E-1,4.807110178E-1
8.922111640E-1,-2.797890007E-1,2.879000036E-3,-3.639729917E-1,4.590931412E-1
8.972240870E-1,-3.057770133E-1,2.500900067E-2,-2.975049913E-1,4.273572883E-1
9.022370140E-1,-3.453249931E-1,2.009299956E-2,-2.310670018E-1,4.159868253E-1
9.072498600E-1,-3.985219896E-1,1.871000044E-3,-1.510549933E-1,4.261934864E-1
9.122627740E-1,-4.245269895E-1,-2.665000036E-3,-8.466300368E-2,4.328950117E-1
9.172754660E-1,-4.371359944E-1,6.359000225E-3,-1.823600009E-2,4.375624141E-1
